replicate,temperature,seed,lattice_size,n_spins,coupling,field,boltzmann_constant,initial_state,burn_in_sweeps,production_sweeps,sample_every,n_recorded_samples,mean_total_energy,mean_energy_squared,mean_energy_per_spin,mean_signed_magnetisation,mean_magnetisation_squared,mean_absolute_magnetisation,mean_acceptance_fraction,first_half_mean_energy_per_spin,second_half_mean_energy_per_spin,first_half_mean_absolute_magnetisation,second_half_mean_absolute_magnetisation
3,2.1,23058,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-665.092,443901.216,-1.66273,0.8715475000000001,0.7632462625,0.8715475000000001,0.10853375,-1.6684400000000001,-1.65702,0.8770300000000001,0.8660650000000001
3,2.15,23059,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-653.696,428951.856,-1.6342400000000001,0.8602725,0.7433269625000001,0.8602725,0.11907999999999999,-1.6437399999999998,-1.62474,0.8656050000000001,0.85494
3,2.2,23060,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-628.356,397031.776,-1.57089,0.8247374999999999,0.6860006125,0.8247374999999999,0.14287,-1.5829699999999998,-1.55881,0.8363799999999999,0.813095
3,2.23,23061,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-607.758,372004.872,-1.519395,0.7834500000000001,0.62790855,0.7834500000000001,0.16095375,-1.51901,-1.5197800000000001,0.78577,0.78113
3,2.25,23062,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-569.492,327835.472,-1.42373,0.1908425,0.47178631249999997,0.6531425,0.19492,-1.44868,-1.3987800000000001,0.72165,0.584635
3,2.269185314213022,23063,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-561.868,318877.536,-1.40467,0.6368225,0.4493628375,0.6456375000000001,0.20291875,-1.39421,-1.41513,0.62113,0.670145
3,2.29,23064,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-550.768,307073.04,-1.3769200000000001,-0.0027574999999999362,0.4017279125,0.5924225,0.21425125,-1.40097,-1.3528699999999998,0.6346900000000001,0.550155
3,2.32,23065,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-556.024,312335.2,-1.39006,0.6697000000000001,0.476601025,0.6702550000000002,0.21064125,-1.36325,-1.4168699999999999,0.62739,0.7131200000000001
3,2.35,23066,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-531.37,285976.744,-1.328425,0.03604249999999996,0.36370173749999996,0.5571175,0.2338275,-1.31908,-1.33777,0.5525549999999999,0.5616800000000001
3,2.4,23067,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-495.54,248855.6,-1.23885,0.2564475,0.27107713750000006,0.46856749999999997,0.26752625,-1.2125599999999999,-1.26514,0.41729999999999995,0.519835
3,2.5,23068,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-434.93,191041.528,-1.087325,0.11742999999999999,0.077656125,0.2243,0.33058124999999994,-1.10006,-1.07459,0.26484500000000005,0.183755
3,2.7,23069,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-386.296,151054.944,-0.9657399999999999,-0.040275,0.059138550000000005,0.19226,0.38677374999999997,-0.9694400000000001,-0.96204,0.215025,0.169495
